0	31	28	0
1	90	20	0
2	9	18	0
3	19	14	0
4	90	10	0
5	25	54	0
6	76	82	0
7	41	48	0
8	76	71	0
9	16	37	0
10	89	41	0
11	71	1	0
12	78	60	0
13	79	61	0
14	70	15	0
15	82	37	0
16	82	12	0
17	48	15	0
18	28	44	0
19	28	66	0
20	50	87	0
21	12	62	0
22	65	34	0
23	7	79	0
24	56	80	0
25	7	44	0
26	88	79	0
27	14	64	0
28	27	11	0
29	31	66	0
30	31	71	0
31	36	8	0
32	79	14	0
33	21	18	0
34	41	39	0
35	11	5	0
36	17	53	0
37	73	89	0
38	90	57	0
39	30	21	0
40	47	14	0
41	83	45	0
42	90	65	0
43	53	18	0
44	31	72	0
45	80	34	0
46	74	69	0
47	41	12	0
48	43	83	0
49	66	61	0
50	62	72	0
51	54	46	0
52	2	70	0
53	15	15	0
54	79	29	0
55	50	82	0
56	77	80	0
57	3	61	0
58	51	69	0
59	2	88	0
60	67	68	0
61	50	59	0
62	23	24	0
63	75	47	0
64	9	47	0
65	7	68	0
66	73	36	0
67	56	67	0
68	35	76	0
69	41	63	0
70	19	11	0
71	86	45	0
72	9	84	0
73	13	7	0
74	74	73	0
75	23	74	0
76	34	54	0
77	74	38	0
78	29	44	0
79	20	44	0
80	27	48	0
81	62	32	0
82	29	4	0
83	85	61	0
84	67	61	0
85	32	73	0
86	48	67	0
87	59	80	0
88	78	58	0
89	37	44	0
90	50	64	0
91	3	75	0
92	26	40	0
93	51	30	0
94	32	58	0
95	16	47	0
96	70	10	0
97	39	16	0
98	30	54	0
99	24	47	0
